ZIP.Code,SBA.District.Office,SBA.Region,County.Name,County.Code,FIPS,State.Name,State.FIPS.Code,State,County,City
00601,Puerto Rico & US Virgin Islands,2,Adjuntas Municipio,1,72001,Puerto Rico,72,PR,Adjuntas,Adjuntas
00602,Puerto Rico & US Virgin Islands,2,Aguada Municipio,3,72003,Puerto Rico,72,PR,Aguada,Aguada
00603,Puerto Rico & US Virgin Islands,2,Aguadilla Municipio,5,72005,Puerto Rico,72,PR,Aguadilla,Aguadilla
00606,Puerto Rico & US Virgin Islands,2,Maricao Municipio,93,72093,Puerto Rico,72,PR,Maricao,Maricao
00610,Puerto Rico & US Virgin Islands,2,Añasco Municipio,11,72011,Puerto Rico,72,PR,Añasco,Anasco
00611,Puerto Rico & US Virgin Islands,2,Utuado Municipio,141,72141,Puerto Rico,72,PR,Utuado,Angeles
00612,Puerto Rico & US Virgin Islands,2,Arecibo Municipio,13,72013,Puerto Rico,72,PR,Arecibo,Arecibo
00616,Puerto Rico & US Virgin Islands,2,Arecibo Municipio,13,72013,Puerto Rico,72,PR,Arecibo,Bajadero
00617,Puerto Rico & US Virgin Islands,2,Barceloneta Municipio,17,72017,Puerto Rico,72,PR,Barceloneta,Barceloneta
00622,Puerto Rico & US Virgin Islands,2,Cabo Rojo Municipio,23,72023,Puerto Rico,72,PR,Cabo Rojo,Boqueron
00623,Puerto Rico & US Virgin Islands,2,Cabo Rojo Municipio,23,72023,Puerto Rico,72,PR,Cabo Rojo,Cabo Rojo
00624,Puerto Rico & US Virgin Islands,2,Peñuelas Municipio,111,72111,Puerto Rico,72,PR,Peñuelas,Penuelas
00627,Puerto Rico & US Virgin Islands,2,Camuy Municipio,27,72027,Puerto Rico,72,PR,Camuy,Camuy
00631,Puerto Rico & US Virgin Islands,2,Lares Municipio,81,72081,Puerto Rico,72,PR,Lares,Castaner
00636,Puerto Rico & US Virgin Islands,2,San Germán Municipio,125,72125,Puerto Rico,72,PR,San Germán,Rosario
00637,Puerto Rico & US Virgin Islands,2,Sabana Grande Municipio,121,72121,Puerto Rico,72,PR,Sabana Grande,Sabana Grande
00638,Puerto Rico & US Virgin Islands,2,Ciales Municipio,39,72039,Puerto Rico,72,PR,Ciales,Ciales
00641,Puerto Rico & US Virgin Islands,2,Utuado Municipio,141,72141,Puerto Rico,72,PR,Utuado,Utuado
00646,Puerto Rico & US Virgin Islands,2,Dorado Municipio,51,72051,Puerto Rico,72,PR,Dorado,Dorado
00647,Puerto Rico & US Virgin Islands,2,Guánica Municipio,55,72055,Puerto Rico,72,PR,Guánica,Ensenada
00650,Puerto Rico & US Virgin Islands,2,Florida Municipio,54,72054,Puerto Rico,72,PR,Florida,Florida
00652,Puerto Rico & US Virgin Islands,2,Arecibo Municipio,13,72013,Puerto Rico,72,PR,Arecibo,Garrochales
00653,Puerto Rico & US Virgin Islands,2,Guánica Municipio,55,72055,Puerto Rico,72,PR,Guánica,Guanica
00656,Puerto Rico & US Virgin Islands,2,Guayanilla Municipio,59,72059,Puerto Rico,72,PR,Guayanilla,Guayanilla
00659,Puerto Rico & US Virgin Islands,2,Hatillo Municipio,65,72065,Puerto Rico,72,PR,Hatillo,Hatillo
00660,Puerto Rico & US Virgin Islands,2,Hormigueros Municipio,67,72067,Puerto Rico,72,PR,Hormigueros,Hormigueros
00662,Puerto Rico & US Virgin Islands,2,Isabela Municipio,71,72071,Puerto Rico,72,PR,Isabela,Isabela
00664,Puerto Rico & US Virgin Islands,2,Jayuya Municipio,73,72073,Puerto Rico,72,PR,Jayuya,Jayuya
00667,Puerto Rico & US Virgin Islands,2,Lajas Municipio,79,72079,Puerto Rico,72,PR,Lajas,Lajas
00669,Puerto Rico & US Virgin Islands,2,Lares Municipio,81,72081,Puerto Rico,72,PR,Lares,Lares
00670,Puerto Rico & US Virgin Islands,2,Las Marías Municipio,83,72083,Puerto Rico,72,PR,Las Marías,Las Marias
00674,Puerto Rico & US Virgin Islands,2,Manatí Municipio,91,72091,Puerto Rico,72,PR,Manatí,Manati
00676,Puerto Rico & US Virgin Islands,2,Moca Municipio,99,72099,Puerto Rico,72,PR,Moca,Moca
00677,Puerto Rico & US Virgin Islands,2,Rincón Municipio,117,72117,Puerto Rico,72,PR,Rincón,Rincon
00678,Puerto Rico & US Virgin Islands,2,Quebradillas Municipio,115,72115,Puerto Rico,72,PR,Quebradillas,Quebradillas
00680,Puerto Rico & US Virgin Islands,2,Mayagüez Municipio,97,72097,Puerto Rico,72,PR,Mayagüez,Mayaguez
00682,Puerto Rico & US Virgin Islands,2,Mayagüez Municipio,97,72097,Puerto Rico,72,PR,Mayagüez,Mayaguez
00683,Puerto Rico & US Virgin Islands,2,San Germán Municipio,125,72125,Puerto Rico,72,PR,San Germán,San German
00685,Puerto Rico & US Virgin Islands,2,San Sebastián Municipio,131,72131,Puerto Rico,72,PR,San Sebastián,San Sebastian
00687,Puerto Rico & US Virgin Islands,2,Morovis Municipio,101,72101,Puerto Rico,72,PR,Morovis,Morovis
00688,Puerto Rico & US Virgin Islands,2,Arecibo Municipio,13,72013,Puerto Rico,72,PR,Arecibo,Sabana Hoyos
00690,Puerto Rico & US Virgin Islands,2,Aguadilla Municipio,5,72005,Puerto Rico,72,PR,Aguadilla,San Antonio
00692,Puerto Rico & US Virgin Islands,2,Vega Alta Municipio,143,72143,Puerto Rico,72,PR,Vega Alta,Vega Alta
00693,Puerto Rico & US Virgin Islands,2,Vega Baja Municipio,145,72145,Puerto Rico,72,PR,Vega Baja,Vega Baja
00694,Puerto Rico & US Virgin Islands,2,Vega Baja Municipio,145,72145,Puerto Rico,72,PR,Vega Baja,Vega Baja
00698,Puerto Rico & US Virgin Islands,2,Yauco Municipio,153,72153,Puerto Rico,72,PR,Yauco,Yauco
00703,Puerto Rico & US Virgin Islands,2,Aguas Buenas Municipio,7,72007,Puerto Rico,72,PR,Aguas Buenas,Aguas Buenas
00704,Puerto Rico & US Virgin Islands,2,Salinas Municipio,123,72123,Puerto Rico,72,PR,Salinas,Aguirre
00705,Puerto Rico & US Virgin Islands,2,Aibonito Municipio,9,72009,Puerto Rico,72,PR,Aibonito,Aibonito
00707,Puerto Rico & US Virgin Islands,2,Maunabo Municipio,95,72095,Puerto Rico,72,PR,Maunabo,Maunabo
00714,Puerto Rico & US Virgin Islands,2,Arroyo Municipio,15,72015,Puerto Rico,72,PR,Arroyo,Arroyo
00715,Puerto Rico & US Virgin Islands,2,Ponce Municipio,113,72113,Puerto Rico,72,PR,Ponce,Mercedita
00716,Puerto Rico & US Virgin Islands,2,Ponce Municipio,113,72113,Puerto Rico,72,PR,Ponce,Ponce
00717,Puerto Rico & US Virgin Islands,2,Ponce Municipio,113,72113,Puerto Rico,72,PR,Ponce,Ponce
00718,Puerto Rico & US Virgin Islands,2,Naguabo Municipio,103,72103,Puerto Rico,72,PR,Naguabo,Naguabo
00719,Puerto Rico & US Virgin Islands,2,Naranjito Municipio,105,72105,Puerto Rico,72,PR,Naranjito,Naranjito
00720,Puerto Rico & US Virgin Islands,2,Orocovis Municipio,107,72107,Puerto Rico,72,PR,Orocovis,Orocovis
00723,Puerto Rico & US Virgin Islands,2,Patillas Municipio,109,72109,Puerto Rico,72,PR,Patillas,Patillas
00725,Puerto Rico & US Virgin Islands,2,Caguas Municipio,25,72025,Puerto Rico,72,PR,Caguas,Caguas
00727,Puerto Rico & US Virgin Islands,2,Caguas Municipio,25,72025,Puerto Rico,72,PR,Caguas,Caguas
00728,Puerto Rico & US Virgin Islands,2,Ponce Municipio,113,72113,Puerto Rico,72,PR,Ponce,Ponce
00729,Puerto Rico & US Virgin Islands,2,Canóvanas Municipio,29,72029,Puerto Rico,72,PR,Canóvanas,Canovanas
00730,Puerto Rico & US Virgin Islands,2,Ponce Municipio,113,72113,Puerto Rico,72,PR,Ponce,Ponce
00731,Puerto Rico & US Virgin Islands,2,Ponce Municipio,113,72113,Puerto Rico,72,PR,Ponce,Ponce
00735,Puerto Rico & US Virgin Islands,2,Ceiba Municipio,37,72037,Puerto Rico,72,PR,Ceiba,Ceiba
00736,Puerto Rico & US Virgin Islands,2,Cayey Municipio,35,72035,Puerto Rico,72,PR,Cayey,Cayey
00738,Puerto Rico & US Virgin Islands,2,Fajardo Municipio,53,72053,Puerto Rico,72,PR,Fajardo,Fajardo
00739,Puerto Rico & US Virgin Islands,2,Cidra Municipio,41,72041,Puerto Rico,72,PR,Cidra,Cidra
00740,Puerto Rico & US Virgin Islands,2,Fajardo Municipio,53,72053,Puerto Rico,72,PR,Fajardo,Puerto Real
00741,Puerto Rico & US Virgin Islands,2,Humacao Municipio,69,72069,Puerto Rico,72,PR,Humacao,Punta Santiago
00745,Puerto Rico & US Virgin Islands,2,Río Grande Municipio,119,72119,Puerto Rico,72,PR,Río Grande,Rio Grande
00751,Puerto Rico & US Virgin Islands,2,Salinas Municipio,123,72123,Puerto Rico,72,PR,Salinas,Salinas
00754,Puerto Rico & US Virgin Islands,2,San Lorenzo Municipio,129,72129,Puerto Rico,72,PR,San Lorenzo,San Lorenzo
00757,Puerto Rico & US Virgin Islands,2,Santa Isabel Municipio,133,72133,Puerto Rico,72,PR,Santa Isabel,Santa Isabel
00765,Puerto Rico & US Virgin Islands,2,Vieques Municipio,147,72147,Puerto Rico,72,PR,Vieques,Vieques
00766,Puerto Rico & US Virgin Islands,2,Villalba Municipio,149,72149,Puerto Rico,72,PR,Villalba,Villalba
00767,Puerto Rico & US Virgin Islands,2,Yabucoa Municipio,151,72151,Puerto Rico,72,PR,Yabucoa,Yabucoa
00769,Puerto Rico & US Virgin Islands,2,Coamo Municipio,43,72043,Puerto Rico,72,PR,Coamo,Coamo
00771,Puerto Rico & US Virgin Islands,2,Las Piedras Municipio,85,72085,Puerto Rico,72,PR,Las Piedras,Las Piedras
00772,Puerto Rico & US Virgin Islands,2,Loíza Municipio,87,72087,Puerto Rico,72,PR,Loíza,Loiza
00773,Puerto Rico & US Virgin Islands,2,Luquillo Municipio,89,72089,Puerto Rico,72,PR,Luquillo,Luquillo
00775,Puerto Rico & US Virgin Islands,2,Culebra Municipio,49,72049,Puerto Rico,72,PR,Culebra,Culebra
00777,Puerto Rico & US Virgin Islands,2,Juncos Municipio,77,72077,Puerto Rico,72,PR,Juncos,Juncos
00778,Puerto Rico & US Virgin Islands,2,Gurabo Municipio,63,72063,Puerto Rico,72,PR,Gurabo,Gurabo
00780,Puerto Rico & US Virgin Islands,2,Ponce Municipio,113,72113,Puerto Rico,72,PR,Ponce,Coto Laurel
00782,Puerto Rico & US Virgin Islands,2,Comerío Municipio,45,72045,Puerto Rico,72,PR,Comerío,Comerio
00783,Puerto Rico & US Virgin Islands,2,Corozal Municipio,47,72047,Puerto Rico,72,PR,Corozal,Corozal
00784,Puerto Rico & US Virgin Islands,2,Guayama Municipio,57,72057,Puerto Rico,72,PR,Guayama,Guayama
00786,Puerto Rico & US Virgin Islands,2,Aibonito Municipio,9,72009,Puerto Rico,72,PR,Aibonito,La Plata
00791,Puerto Rico & US Virgin Islands,2,Humacao Municipio,69,72069,Puerto Rico,72,PR,Humacao,Humacao
00794,Puerto Rico & US Virgin Islands,2,Barranquitas Municipio,19,72019,Puerto Rico,72,PR,Barranquitas,Barranquitas
00795,Puerto Rico & US Virgin Islands,2,Juana Díaz Municipio,75,72075,Puerto Rico,72,PR,Juana Díaz,Juana Diaz
00802,Puerto Rico & US Virgin Islands,2,"","","","","",VI,St. Thomas,St Thomas
00820,Puerto Rico & US Virgin Islands,2,"","","","","",VI,St. Croix,Christiansted
00830,Puerto Rico & US Virgin Islands,2,"","","","","",VI,St. John,St John
00840,Puerto Rico & US Virgin Islands,2,"","","","","",VI,St. Croix,Frederiksted
00850,Puerto Rico & US Virgin Islands,2,"","","","","",VI,St. Croix,Kingshill
00851,Puerto Rico & US Virgin Islands,2,"","","","","",VI,St. Croix,Kingshill
00901,Puerto Rico & US Virgin Islands,2,San Juan Municipio,127,72127,Puerto Rico,72,PR,San Juan,San Juan
00906,Puerto Rico & US Virgin Islands,2,San Juan Municipio,127,72127,Puerto Rico,72,PR,San Juan,San Juan
00907,Puerto Rico & US Virgin Islands,2,San Juan Municipio,127,72127,Puerto Rico,72,PR,San Juan,San Juan
00909,Puerto Rico & US Virgin Islands,2,San Juan Municipio,127,72127,Puerto Rico,72,PR,San Juan,San Juan
00911,Puerto Rico & US Virgin Islands,2,San Juan Municipio,127,72127,Puerto Rico,72,PR,San Juan,San Juan
00912,Puerto Rico & US Virgin Islands,2,San Juan Municipio,127,72127,Puerto Rico,72,PR,San Juan,San Juan
00913,Puerto Rico & US Virgin Islands,2,San Juan Municipio,127,72127,Puerto Rico,72,PR,San Juan,San Juan
00915,Puerto Rico & US Virgin Islands,2,San Juan Municipio,127,72127,Puerto Rico,72,PR,San Juan,San Juan
00917,Puerto Rico & US Virgin Islands,2,San Juan Municipio,127,72127,Puerto Rico,72,PR,San Juan,San Juan
00918,Puerto Rico & US Virgin Islands,2,San Juan Municipio,127,72127,Puerto Rico,72,PR,San Juan,San Juan
00920,Puerto Rico & US Virgin Islands,2,San Juan Municipio,127,72127,Puerto Rico,72,PR,San Juan,San Juan
00921,Puerto Rico & US Virgin Islands,2,San Juan Municipio,127,72127,Puerto Rico,72,PR,San Juan,San Juan
00923,Puerto Rico & US Virgin Islands,2,San Juan Municipio,127,72127,Puerto Rico,72,PR,San Juan,San Juan
00924,Puerto Rico & US Virgin Islands,2,San Juan Municipio,127,72127,Puerto Rico,72,PR,San Juan,San Juan
