ZIP,FIPS,County
43016,39041,"OH, Delaware"
06420,09007,"CT, Middlesex"
38663,28009,"MS, Benton"
75087,48085,"TX, Collin"
38663,28145,"MS, Union"
66048,20209,"KS, Wyandotte"
37381,47035,"TN, Cumberland"
38663,28117,"MS, Prentiss"
20169,51061,"VA, Fauquier"
30058,13247,"GA, Rockdale"
30058,13135,"GA, Gwinnett"
20165,51059,"VA, Fairfax"
79252,48101,"TX, Cottle"
01880,25009,"MA, Essex"
28771,37173,"NC, Swain"
28771,37039,"NC, Cherokee"
32224,12109,"FL, St. Johns"
74103,40113,"OK, Osage"
49721,26141,"MI, Presque Isle"
88101,35041,"NM, Roosevelt"
26554,54033,"WV, Harrison"
22835,51171,"VA, Shenandoah"
20120,51107,"VA, Loudoun"
78130,48209,"TX, Hays"
22405,51177,"VA, Spotsylvania"
62907,17145,"IL, Perry"
48416,26147,"MI, St. Clair"
00778,72139,"PR, Trujillo Alto"
99156,53063,"WA, Spokane"
63005,29071,"MO, Franklin"
60047,17031,"IL, Cook"
75146,48139,"TX, Ellis"
85901,04001,"AZ, Apache"
48442,26093,"MI, Livingston"
93601,06043,"CA, Mariposa"
39350,28069,"MS, Kemper"
99612,02013,"AK, Aleutians East"
57783,46019,"SD, Butte"
00719,72127,"PR, San Juan"
17233,42055,"PA, Franklin"
23111,51127,"VA, New Kent"
78840,48137,"TX, Edwards"
22046,51013,"VA, Arlington"
31316,13179,"GA, Liberty"
49684,26019,"MI, Benzie"
28532,37031,"NC, Carteret"
90815,06059,"CA, Orange"
55110,27003,"MN, Anoka"
71241,22061,"LA, Lincoln"
30474,13283,"GA, Treutlen"
06074,09013,"CT, Tolland"
62269,17119,"IL, Madison"
78640,48453,"TX, Travis"
97225,41051,"OR, Multnomah"
08043,34005,"NJ, Burlington"
34266,12055,"FL, Highlands"
00778,72025,"PR, Caguas"
15126,42007,"PA, Beaver"
23320,51810,"VA, Virginia Beach"
08854,34039,"NJ, Union"
29571,45033,"SC, Dillon"
87002,35053,"NM, Socorro"
30326,13089,"GA, De Kalb"
42633,21053,"KY, Clinton"
